Location,Production,Startup,Lat,Lng,
Schönenberg,1.7,2011, 47.1932312, 8.644027,
Schönenberg an der Thur,2.3,2002, 47.520833, 9.197778,
Bürglen,1.1,1872, 46.8761523, 8.664463099999999,
Bürglen,0.44,1956, 46.8761523, 8.664463099999999,
Bürglen,0.99,2016, 46.8761523, 8.664463099999999,
Bürglen,0.7,1947, 46.8761523, 8.664463099999999,
Weinfelden,0.4,1878, 47.5660299, 9.1084456,
Weinfelden,0.4,1948, 47.5660299, 9.1084456,
Weinfeldens untere Widen,0.83,1989, 47.36804739999999, 8.3630648,
Matzingen,0.34,1960, 47.5195701, 8.934054999999999,
Frauenfelds Schlossmühlestr.,0.31,2012, 47.55342049999999, 8.8972856,
Kollbrunns Gmde. Zell,0.37,1832, 47.44425890000001, 8.7984569,
Sennhofs Illnau-Effretikon,0.47,1860, 47.46738, 8.759549999999999,
Neftenbach,0.35,1994, 47.5266537, 8.6688227,
Hards Wülflingen in Winterthur,0.58,2015, 47.5091076, 8.6904167,
Freienstein,0.6,1832, 47.5313791, 8.5851744,
Oberuster,0.42,1816, 47.34557, 8.729650600000001,
Zweidlen,46.9,1920, 47.562501, 8.470274,
Reckingen,39.5,1941, 46.4695173, 8.2451355,
Hallau,0.42,1895, 47.6967786, 8.4574122,
Leibstadt,28.4,2009, 47.5899397, 8.173178,
Albbruck,84.9,1933, 47.59465729999999, 8.1362987,
Laufenburg,110,1914, 47.502948, 8.0223883,
Bad Säckingen,73.6,1966, 47.5513909, 7.952157000000001,
Schwörstadt,120,1931, 47.5922024, 7.8753856,
Schwörstaddts KW Ryburg-Schw.,0.35,2014, 47.56749199999999, 7.839517000000001,
Rheinfelden,100,1898, 47.55219, 7.7922914,
Rheinfelden,1.8,2011, 47.55219, 7.7922914,
Augst,35,1912, 47.53389, 7.721349999999999,
Grenzach-Wyhlen,38.5,1912, 47.5523554, 7.658088100000001,
Birsfelden,100,1955, 47.5516505, 7.627249900000001,
Gorges de Court,0.92,1895, 47.2589145, 7.3451214,
Choindez,0.58,1914, 47.32071, 7.380450000000001,
Underveliers Blanches-Fontaine,0.32,1897, 47.2941146, 7.2220181,
Chez Theurillats Haute-Sorne,1.03,1920, 47.34999999999999, 7.233333,
Soyhières,0.52,1905, 47.3904978, 7.3690995,
Laufen,0.35,1997, 47.4204213, 7.5004874,
Laufen,0.72,1949, 47.4204213, 7.5004874,
Zwingen,0.38,1913, 47.43715659999999, 7.530886600000001,
Nenzlingen,0.34,1942, 47.447616, 7.561948699999999,
Grellingen,0.98,1945, 47.4409994, 7.5905459,
Grellingen,0.5,1864, 47.4409994, 7.5905459,
Grellingen,0.55,1861, 47.4409994, 7.5905459,
Dornach,1.54,1996, 47.4790491, 7.6170412,
Münchenstein,1.07,1998, 47.5226485, 7.6150661,
Barrage de Kembs,2.85,1966, 47.7098922, 7.5031728,
Barrage de Kembs,8.4,2016, 47.7098922, 7.5031728,
Kembss Loechle,155,1932, 47.652079, 7.506494999999999,
Grimsels Chessituren,388,1981, 46.5614, 8.337579999999999,
Grimsels Sommerloch u.Hospiz,33.6,1954, 46.5614, 8.337579999999999,
Grimsels Sommerlochs u.Hospiz,32.2,1974, 46.5614, 8.337579999999999,
Handegg,44.8,1932, 46.6125128, 8.3068901,
Handegg,215.6,1950, 46.6125128, 8.3068901,
Handegg,55.1,1976, 46.6125128, 8.3068901,
Handegg,0,1976, 46.6125128, 8.3068901,
Guttannens Blatti,1.29,2016, 46.7513363, 8.1975828,
Innertkirchens Underürbach,2.95,2016, 46.6957288, 8.2356923,
Innertkirchen,393.5,1943, 46.70517659999999, 8.227401,
Underi-Furens Innertkirchen,9.6,1961, 46.70517659999999, 8.227401,
Underi-Furens Innertkirchen,0,1961, 46.70517659999999, 8.227401,
Hopflauenen,81.6,1967, 46.71429999999999, 8.27834,
Hopflauenen,5.4,1967, 46.71429999999999, 8.27834,
Innertkirchen,54.8,1967, 46.70517659999999, 8.227401,
Meiringens Haselholz,1.65,1950, 46.818188, 8.227511999999999,
Meiringen,1,1889, 46.7251614, 8.1909081,
Schattenhalb,1.9,1927, 46.7185473, 8.1911357,
Schattenhalb,2.3,2017, 46.7185473, 8.1911357,
Schattenhalb,9.7,2010, 46.7185473, 8.1911357,
Brienz,0.9,1949, 46.7541541, 8.0316899,
Grindelwald,1.4,1960, 46.624164, 8.0413962,
Lütschental,11.9,1908, 46.6382294, 7.949146799999999,
Lauterbrunnens Stechelberg,4.3,1905, 46.5452567, 7.902656100000001,
Saxeten,0.48,1999, 46.6363957, 7.8311603,
Wilderswil,0.8,1998, 46.6652174, 7.8689183,
Interlakens Kanal,0.82,1894, 46.6863481, 7.863204899999999,
Unterseen,0.3,1996, 46.6852116, 7.848157400000001,
Kanderstegs Eggeschwand,2.1,2009, 46.47908899999999, 7.665742399999999,
Kanderstegs Zilfuri,1.09,1903, 46.4947325, 7.674435700000001,
Kanderstegs Dorf,1.03,1996, 46.4947325, 7.674435700000001,
Inner-Kandergrund,19,1911, 46.5443255, 7.662839,
Adelbodens Engstligenalp,0.6,1937, 46.4308464, 7.580008899999998,
Reichenbachs Losplatte,2.75,2017, 46.6254387, 7.6940529,
Adelbodens Moosweid,0.35,1903, 46.4957862, 7.575569600000001,
Adelboden,0.5,1996, 46.4930889, 7.5595123,
Längmad am Thunersee,18.66,1899, 46.7315725, 7.669203500000001,
St. Stephans Matten,2.09,2016, 46.4986228, 7.419505999999999,
St. Stephan,0.35,2016, 46.50595, 7.402049999999999,
Boltigens Garstatt,2.6,2016, 46.592939, 7.374384699999999,
Weissenburg,0.37,1898, 46.65835999999999, 7.475439999999999,
Erlenbach,1.3,1946, 47.3052989, 8.597147099999999,
Erlenbach,18,1959, 47.3052989, 8.597147099999999,
Simmenfluh (Wimmis),9,1962, 46.6793, 7.620889999999999,
Thun,6.32,1962, 46.7579868, 7.6279881,
Thun,2.83,1917, 46.7579868, 7.6279881,
Thuns Kanal (Uttigenstr.),0.44,1901, 46.7665527, 7.6082304,
Blumenstein,0.64,1918, 46.74109989999999, 7.5204564,
Berns Matte,1.16,1891, 46.818188, 8.227511999999999,
Engehalde,0.44,1998, 46.9566886, 7.4397875,
Felsenau,11.5,1909, 46.9729483, 7.4407539,
Buttenried,44.59,1920, 46.9634867, 7.2760822,
Innergsteig,18,1966, 46.3793924, 7.274475099999999,
Lauenen bei Gstaad,0.9,2014, 46.42427, 7.32261,
Gsteig b.Gstaad,0.72,1948, 46.386567, 7.267414,
Château d'Oexs Gérignoz,0.45,1996, 46.47255639999999, 7.170756999999999,
Montbovon,31,1896, 46.483332, 7.033328999999999,
Lessoc,8.56,1973, 46.499998, 7.066657999999999,
Grandvillard,2.9,1999, 46.54092800000001, 7.086142799999999,
Jaun,0.38,1982, 46.6103237, 7.286142900000001,
Charmeys La Tzintre,0.86,2012, 46.6099535, 7.183172399999999,
Charmeys Le Perré,5.27,1893, 46.6150944, 7.167405499999999,
Broc,25,1921, 46.6042074, 7.0974945,
Rossens,0.7,1976, 46.7205552, 7.1041753,
Rossens,1.7,2005, 46.7205552, 7.1041753,
Hauterive,60,1902, 47.01564279999999, 6.9725091,
Fribourgs Maigrauge,0.58,1870, 46.799859, 7.15856,
Fribourgs Oelberg,18.3,1910, 46.8064773, 7.161971899999999,
Weissenburg_Del,0.37,1898, 46.6591694, 7.493250400000001,
Schiffenen,71,1964, 46.8504861, 7.1581707,
Niederrieds Radelfingen,15,1963, 47.0117074, 7.2505417,
