Egg SZ, 8847, 47.16310, 8.78480,
Meyrin, 1217, 23.72600, 90.42510,
Lauperswil, 3438, 46.96158, 7.73242,
Ennetbürgen, 6373, 46.98598, 8.41248,
Oensingen, 4702, 21.43970, 92.00960,
Altstätten, 9450, 22.33140, 89.11910,
Rafz, 8197, 47.61015, 8.53953,
Schmidigen-Mühleweg, 3464, 23.79430, 91.18300,
Egnach, 9322, 22.69530, 89.71940,
Frutigen, 3714, 23.03910, 90.76810,
Steinmaur, 8162, 47.49181, 8.44903,
Affoltern, 8910, 47.27915, 8.44928,
Lenzerheide, 7078, 46.72220, 9.55900,
Lohn, 7433, 22.96550, 88.97010,
Ried-Mörel, 3986, 46.35710, 8.03140,
Ringoldswil, 3656, 46.71975, 7.70150,
Frauenfeld, 8500, 22.46860, 90.03420,
Kottwil, 6217, 47.15213, 8.03534,
Oberhofen, 3653, 23.13560, 90.74340,
Hosenruck, 9515, 47.49170, 9.12390,
Niederrohrdorf, 5443, 47.42714, 8.29992,
Hombrechtikon, 8634, 47.25188, 8.76964,
Hämikon, 6289, 47.23835, 8.28275,
Kriessern, 9451, 22.30810, 89.19640,
Andwil, 9204, 22.91600, 89.50620,
Chénens, 1744, 24.23680, 90.49030,
Seewen, 6423, 47.02880, 8.63040,
Mitlödi, 8756, 47.01230, 9.08020,
Horgen, 8810, 47.25592, 8.58972,
La Chaux-de-Fonds, 2300, 24.33940, 90.76030,
Niederrohrdorf, 5443, 47.42714, 8.29992,
Mariastein, 4115, 47.47605, 7.48974,
Sutz, 2572, 47.10510, 7.21741,
Hedingen, 8908, 47.29969, 8.45024,
Meyrin, 1217, 23.72600, 90.42510,
Mézières VD, 1083, 46.59150, 6.76570,
Rieden, 5415, 47.48277, 8.31173,
Utzenstorf, 3427, 47.12813, 7.55400,
Bubendorf, 4416, 47.45025, 7.73812,
Hallau, 8215, 22.82020, 90.32210,
Châbles, 1474, 46.82450, 6.81080,
Les Brenets, 2416, 25.08670, 90.51190,
Wohlen, 5610, 25.74120, 89.65130,
Obbürgen NW, 6363, 46.99460, 8.42830,
Gähwil, 9534, 47.39870, 9.00260,
Bätterkinden, 3315, 47.13365, 7.53926,
Menznau, 6122, 47.08363, 8.04002,
Hinterfultigen, 3089, 46.83980, 7.40090,
Glarus, 8750, 47.56977, 9.10540,
Hohentannen, 9216, 47.52728, 9.22499,
Cureglia, 6944, 46.03673, 8.94473,
Obernau, 6012, 47.03176, 8.24712,
Frümsen, 9467, 47.24380, 9.46790,
Rumisberg, 4539, 47.26817, 7.61971,
Wangen, 3380, 47.23588, 7.69103,
Arzier, 1273, 46.46083, 6.20940,
Rapperswil, 3255, 47.06322, 7.41082,
