"Ort","empty"
"Spluegen","empty"
"Sufers","empty"
"Andeer","empty"
"Andeer","empty"
"Sils, Nisellas","empty"
"Thusis","empty"
"Preda bei Bergün","empty"
"Davos, Frauenkirch","empty"
"Davos, Glaris","empty"
"Filisur","empty"
"Tiefencastel","empty"
"Bivio","empty"
"Tinizong-Rona","empty"
"Tinizong","empty"
"Riom - Parsonz","empty"
"Tiefencastel","empty"
"Tiefencastel","empty"
"Vaz/Obervaz","empty"
"Sils im Domleschg","empty"
"Rothenbrunnen","empty"
"Domat-Ems","empty"
"Litzirüti","empty"
"Lüen, Tewald","empty"
"Lüen, Tewald","empty"
"Chur, Sand","empty"
"Chur, Sand","empty"
"Churwalden, Bärgliwäg","empty"
"Klosters","empty"
"Klosters-Dorf","empty"
"Küblis","empty"
"Seewis","empty"
"Landquart-Fabriken","empty"
"Landquart-Fabriken","empty"
"Vadura","empty"
"Bad Ragaz","empty"
"Ragaz","empty"
"Jenins","empty"
"Vilters","empty"
"Wangs, Gaschiels","empty"
"Sevelen","empty"
"Buchs, Waldrand","empty"
"Buchs, Steig - Aspenhölzli","empty"
"Buchs, Altendorf","empty"
"Grabs, Bannwald","empty"
"Grabs, Löchli","empty"
"Sennwald","empty"
"Lienz","empty"
"Oberriet, Blatten","empty"
"Montlingen","empty"
"Heiden, Hinterlochen","empty"
"Untereggen, Lochmüli","empty"
"Steinach","empty"
"Schaffhausen","empty"
"Schaffhausen","empty"
"Neuhausen","empty"
"Rheinau","empty"
"Nesslau, unterer Giessenfall","empty"
"Nesslau, Schneit","empty"
"Krummenau","empty"
"Trempel, Ebnat-Kappel","empty"
"Ebnat - Kappel","empty"
"Lichtensteig","empty"
"Bütschwil","empty"
"Bütschwil","empty"
"Mülau bei Bazenheid Kirchberg","empty"
"Glattmüli","empty"
"Bischofszell","empty"
"Rässenaueli","empty"
"Urnäsch","empty"
"Urnäsch","empty"
"St. Gallen","empty"
"St. Gallen, Sittertal","empty"
"St. Gallen","empty"
"Wittenbach","empty"
"Schönenberg","empty"
"Schönenberg an der Thur","empty"
"Bürglen","empty"
"Bürglen","empty"
"Bürglen","empty"
"Bürglen","empty"
"Weinfelden","empty"
"Weinfelden","empty"
"Weinfelden, untere Widen","empty"
"Matzingen","empty"
"Frauenfeld, Schlossmühlestr.","empty"
"Kollbrunn, Gmde. Zell","empty"
"Sennhof, Illnau-Effretikon","empty"
"Neftenbach","empty"
"Hard, Wülflingen in Winterthur","empty"
"Freienstein","empty"
"Oberuster","empty"
"Zweidlen","empty"
"Reckingen","empty"
