"Anlage_Energieträger","Anlagentyp","Leistung [kW]","Anlage_Inbetriebnahme","PLZ","Ort","Anlage_Kanto"
"Photovoltaik","Angebaute Anlage","155.5","20.03.15","8580","Amriswil","TG"
"Photovoltaik","Angebaute Anlage","155.5","26.03.15","7205","Zizers","GR"
"Photovoltaik","Angebaute Anlage","155.6","07.11.14","3608","Thun","BE"
"Photovoltaik","Angebaute Anlage","155.6","24.12.13","6532","Castione","TI"
"Photovoltaik","Angebaute Anlage","155.7","19.09.12","8500","Frauenfeld","TG"
"Photovoltaik","Angebaute Anlage","155.7","16.12.13","8553","Harenwilen","TG"
"Photovoltaik","Angebaute Anlage","155.8","16.12.12","6928","Manno","TI"
"Photovoltaik","Angebaute Anlage","155.8","01.08.12","3665","Wattenwil","BE"
"Photovoltaik","Angebaute Anlage","155.9","12.12.11","1893","Muraz (Collombey)","VS"
"Photovoltaik","Angebaute Anlage","156.1","02.10.13","9223","Schweizersholz","TG"
"Photovoltaik","Angebaute Anlage","156.5","30.09.10","3145","Niederscherli","BE"
"Photovoltaik","Angebaute Anlage","156.6","20.12.13","6595","Riazzino","TI"
"Photovoltaik","Angebaute Anlage","156.7","19.12.13","3150","Schwarzenburg","BE"
"Photovoltaik","Angebaute Anlage","156.8","21.09.12","1070","Puidoux","VD"
"Photovoltaik","Angebaute Anlage","156.9","31.03.15","2364","St-Brais","JU"
"Photovoltaik","Angebaute Anlage","157.2","30.06.12","2606","Corgemont","BE"
"Photovoltaik","Angebaute Anlage","157.3","05.02.10","9032","Engelburg","SG"
"Photovoltaik","Integrierte Anlage","157.4","19.12.13","8934","Knonau","ZH"
"Photovoltaik","Angebaute Anlage","157.5","26.09.12","6372","Ennetmoos","NW"
"Photovoltaik","Angebaute Anlage","158","06.10.10","6048","Horw","LU"
"Photovoltaik","Angebaute Anlage","158.1","16.11.09","6017","Ruswil","LU"
"Photovoltaik","Angebaute Anlage","158.3","18.12.13","5417","Untersiggenthal","AG"
"Photovoltaik","Angebaute Anlage","158.8","09.06.16","8600","Dübendorf","ZH"
"Photovoltaik","Integrierte Anlage","159.1","04.05.12","1891","Vérossaz","VS"
"Photovoltaik","Angebaute Anlage","159.3","12.12.13","8733","Eschenbach","SG"
"Photovoltaik","Angebaute Anlage","159.4","11.08.08","6017","Ruswil","LU"
"Photovoltaik","Angebaute Anlage","159.5","22.08.12","4145","Gempen","SO"
"Photovoltaik","Angebaute Anlage","160.2","31.03.16","9413","Oberegg","AI"
"Photovoltaik","Integrierte Anlage","160.4","04.07.13","1427","Bonvillars","VD"
"Photovoltaik","Angebaute Anlage","160.6","29.09.15","5703","Seon","AG"
"Photovoltaik","Integrierte Anlage","160.6","20.12.10","3454","Sumiswald","BE"
"Photovoltaik","Integrierte Anlage","160.7","20.12.12","8466","Trüllikon","ZH"
"Photovoltaik","Angebaute Anlage","160.7","27.12.11","2540","Grenchen","SO"
"Photovoltaik","Angebaute Anlage","160.8","29.08.08","4104","Oberwil","BL"
"Photovoltaik","Angebaute Anlage","160.8","30.05.13","5707","Seengen","AG"
"Photovoltaik","Angebaute Anlage","161","23.03.16","6283","Baldegg","LU"
"Photovoltaik","Angebaute Anlage","161","15.12.11","8514","Bissegg","TG"
"Photovoltaik","Angebaute Anlage","161.3","27.09.16","9500","Bronschhofen","SG"
"Photovoltaik","Angebaute Anlage","161.5","20.12.13","3038","Kirchlindach","BE"
"Photovoltaik","Integrierte Anlage","161.7","14.12.11","2715","Monible","BE"
"Photovoltaik","Integrierte Anlage","161.8","25.09.12","3317","Limpach","BE"
"Photovoltaik","Angebaute Anlage","161.9","30.03.16","6064","Kerns","OW"
"Photovoltaik","Angebaute Anlage","162","31.03.16","6300","Zug","ZG"
"Photovoltaik","Angebaute Anlage","162.1","21.04.13","4912","Aarwangen","BE"
"Photovoltaik","Angebaute Anlage","162.2","18.12.13","4934","Madiswil","BE"
"Photovoltaik","Angebaute Anlage","162.2","23.03.15","6283","Baldegg","LU"
"Photovoltaik","Integrierte Anlage","162.2","07.12.12","6234","Kulmerau","LU"
"Photovoltaik","Angebaute Anlage","162.2","23.07.13","1418","Vuarrens","VD"
"Photovoltaik","Angebaute Anlage","162.5","23.12.11","1170","Aubonne","VD"
"Photovoltaik","Angebaute Anlage","162.6","27.12.13","5727","Oberkulm","AG"
"Photovoltaik","Angebaute Anlage","162.8","02.12.08","9413","Oberegg","AI"
"Photovoltaik","Angebaute Anlage","163.1","28.09.16","2800","Delémont","JU"
"Photovoltaik","Angebaute Anlage","163.1","15.08.08","6102","Malters","LU"
"Photovoltaik","Angebaute Anlage","163.4","07.03.16","9554","Tägerschen","TG"
"Photovoltaik","Angebaute Anlage","163.8","22.12.14","1538","Treytorrens","VD"
"Photovoltaik","Angebaute Anlage","163.9","27.03.15","8360","Eschlikon","TG"
"Photovoltaik","Angebaute Anlage","164","14.12.11","8342","Wernetshausen","ZH"
"Photovoltaik","Angebaute Anlage","164","14.11.11","8465","Rudolfingen","ZH"
"Photovoltaik","Angebaute Anlage","164","04.08.12","1870","Monthey","VS"
"Photovoltaik","Angebaute Anlage","164.2","23.03.17","4566","Oekingen","SO"
