"Ort","Postleitzahl","Installierte Leistung in KW","Inbetriebnahme","ZE-Kanton"
""Hard"," Wülflingen in Winterthur"",,"0.580","2015","Zürich"
"Freienstein",,"0.600","1832","Zürich"
"Oberuster",,"0.420","1816","Zürich"
"Zweidlen",,"46.900","1920","Zürich"
"Reckingen",,"39.500","1941",""
"Hallau",,"0.420","1895","Schaffhausen"
"Leibstadt",,"28.400","2009","Aargau"
"Albbruck",,"84.900","1933",""
"Laufenburg",,"110.000","1914","Aargau"
"Bad Säckingen",,"73.600","1966",""
"Schwörstadt",,"120.000","1931",""
""Schwörstaddt"," KW Ryburg-Schw."",,"0.350","2014",""
"Rheinfelden",,"100.000","1898","Aargau"
"Rheinfelden",,"1.800","2011","Aargau"
"Augst",,"35.000","1912","Basel-Landschaft"
"Grenzach-Wyhlen",,"38.500","1912",""
"Birsfelden",,"100.000","1955","Basel-Landschaft"
"Gorges de Court",,"0.920","1895","Bern"
"Choindez",,"0.580","1914","Jura"
""Undervelier"," Blanches-Fontaine"",,"0.320","1897","Jura"
""Chez Theurillat"," Haute-Sorne"",,"1.030","1920","Jura"
"Soyhières",,"0.520","1905","Jura"
"Laufen",,"0.350","1997","Basel-Landschaft"
"Laufen",,"0.720","1949","Basel-Landschaft"
"Zwingen",,"0.380","1913","Basel-Landschaft"
"Nenzlingen",,"0.340","1942","Basel-Landschaft"
"Grellingen",,"0.980","1945","Basel-Landschaft"
"Grellingen",,"0.500","1864","Basel-Landschaft"
"Grellingen",,"0.550","1861","Basel-Landschaft"
"Dornach",,"1.540","1996","Solothurn"
"Münchenstein",,"1.070","1998","Basel-Landschaft"
"Barrage de Kembs",,"2.850","1966",""
"Barrage de Kembs",,"8.400","2016",""
""Kembs"," Loechle"",,"155.000","1932",""
""Grimsel"," Chessituren"",,"388.000","1981","Bern"
""Grimsel"," Sommerloch u.Hospiz"",,"33.600","1954","Bern"
""Grimsel"," Sommerloch"," u.Hospiz"",,"32.200","1974","Bern"
"Handegg",,"44.800","1932","Bern"
"Handegg",,"215.600","1950","Bern"
"Handegg",,"55.100","1976","Bern"
"Handegg",,"0.000","1976","Bern"
""Guttannen"," Blatti"",,"1.290","2016","Bern"
""Innertkirchen"," Underürbach"",,"2.950","2016","Bern"
"Innertkirchen",,"393.500","1943","Bern"
""Underi-Furen"," Innertkirchen"",,"9.600","1961","Bern"
""Underi-Furen"," Innertkirchen"",,"0.000","1961","Bern"
"Hopflauenen",,"81.600","1967","Bern"
"Hopflauenen",,"5.400","1967","Bern"
"Innertkirchen",,"54.800","1967","Bern"
""Meiringen"," Haselholz"",,"1.650","1950","Bern"
"Meiringen",,"1.000","1889","Bern"
"Schattenhalb",,"1.900","1927","Bern"
"Schattenhalb",,"2.300","2017","Bern"
"Schattenhalb",,"9.700","2010","Bern"
"Brienz",,"0.900","1949","Bern"
"Grindelwald",,"1.400","1960","Bern"
"Lütschental",,"11.900","1908","Bern"
""Lauterbrunnen"," Stechelberg"",,"4.300","1905","Bern"
"Saxeten",,"0.480","1999","Bern"
"Wilderswil",,"0.800","1998","Bern"
""Interlaken"," Kanal"",,"0.820","1894","Bern"
"Unterseen",,"0.300","1996","Bern"
""Kandersteg"," Eggeschwand"",,"2.100","2009","Bern"
""Kandersteg"," Zilfuri"",,"1.090","1903","Bern"
""Kandersteg"," Dorf"",,"1.030","1996","Bern"
"Inner-Kandergrund",,"19.000","1911","Bern"
""Adelboden"," Engstligenalp"",,"0.600","1937","Bern"
""Reichenbach"," Losplatte"",,"2.750","2017","Bern"
""Adelboden"," Moosweid"",,"0.350","1903","Bern"
"Adelboden",,"0.500","1996","Bern"
"Längmad am Thunersee",,"18.660","1899","Bern"
""St. Stephan"," Matten"",,"2.090","2016","Bern"
"St. Stephan",,"0.350","2016","Bern"
""Boltigen"," Garstatt"",,"2.600","2016","Bern"
"Weissenburg",,"0.370","1898","Bern"
"Erlenbach",,"1.300","1946","Bern"
"Erlenbach",,"18.000","1959","Bern"
"Simmenfluh (Wimmis)",,"9.000","1962","Bern"
"Thun",,"6.320","1962","Bern"
"Thun",,"2.830","1917","Bern"
""Thun"," Kanal (Uttigenstr.)"",,"0.440","1901","Bern"
"Blumenstein",,"0.640","1918","Bern"
""Bern"," Matte"",,"1.160","1891","Bern"
"Engehalde",,"0.440","1998","Bern"
"Felsenau",,"11.500","1909","Bern"
"Buttenried",,"44.590","1920","Bern"
"Innergsteig",,"18.000","1966","Bern"
"Lauenen bei Gstaad",,"0.900","2014","Bern"
"Gsteig b.Gstaad",,"0.720","1948","Bern"
""Château d'Oex"," Gérignoz"",,"0.450","1996","Waadt"
"Montbovon",,"31.000","1896","Freiburg"
"Lessoc",,"8.560","1973","Freiburg"
"Grandvillard",,"2.900","1999","Freiburg"
"Jaun",,"0.380","1982","Freiburg"
""Charmey"," La Tzintre"",,"0.860","2012","Freiburg"
""Charmey"," Le Perré"",,"5.270","1893","Freiburg"
"Broc",,"25.000","1921","Freiburg"
"Rossens",,"0.700","1976","Freiburg"
"Rossens",,"1.700","2005","Freiburg"
"Hauterive",,"60.000","1902","Freiburg"
""Fribourg"," Maigrauge"",,"0.580","1870","Freiburg"
""Fribourg"," Oelberg"",,"18.300","1910","Freiburg"
"Weissenburg_Del",,"0.370","1898","Bern"
"Schiffenen",,"71.000","1964","Freiburg"
""Niederried"," Radelfingen"",,"15.000","1963","Bern"
"Aarberg",,"15.200","1968","Bern"
"Kallnach",,"8.300","1913","Bern"
"Hagneck",,"2.910","1900","Bern"
"Hagneck",,"20.960","2015","Bern"
"La Dernier",,"28.000","1903","Waadt"
"Vallorbe",,"2.350","1955","Waadt"
"Les Clées",,"30.000","1955","Waadt"
"Montcherand",,"15.500","1908","Waadt"
"Orbe",,"2.600","1894","Waadt"
"Orbe",,"0.770","2013","Waadt"
"Orbe",,"0.580","1920","Waadt"
"La Doux / St.Sulpice",,"0.820","1896","Neuenburg"
"St.Sulpice",,"3.900","1988","Neuenburg"
""Noiraigue"," Le Furcil"",,"0.680","1956","Neuenburg"
"Brot - Dessous",,"1.110","1896","Neuenburg"
""Brot-Dessous"," Les Moyats"",,"1.600","1887","Neuenburg"
""Boudry"," Combe-Garot"",,"4.860","1897","Neuenburg"
"Boudry",,"4.400","1914","Neuenburg"
"Boudry",,"0.500","2014","Neuenburg"
""Neuchâtel"," Serrières"",,"0.510","1920","Neuenburg"
""Neuchâtel"," Serrières"",,"0.360","1939","Neuenburg"
""Neuchâtel"," Serrières"",,"0.320","1939","Neuenburg"
""La Serrière"," Neuchâtel"",,"1.300","2016","Neuenburg"
"Sonceboz",,"0.390","2005","Bern"
""Péry"," Rondchâtel"",,"3.000","1883","Bern"
""Péry"," Frinvillier"",,"0.300","1893","Bern"
"Frinvillier",,"0.350","1869","Bern"
"Biel-Bözingen",,"0.320","1896","Bern"
"Bözingen",,"3.250","1876","Bern"
"Brügg",,"5.200","1995","Bern"
"Rüderswil",,"0.420","1999","Bern"
""Gohlhusbrügg"," Lützelflüh"",,"0.420","2016","Bern"
"Bätterkinden",,"0.500","1854","Bern"
"Bätterkinden",,"0.400","1855","Bern"
"Utzenstorf",,"0.380","1893","Bern"
"Wiler bei Utzenstorf",,"0.500","1889","Bern"
"Biberist",,"0.500","1864","Solothurn"
"Derendingen",,"0.330","1863","Solothurn"
"Luterbach",,"0.860","1876","Solothurn"
"Luterbach",,"0.320","1888","Solothurn"
"Riedholz",,"23.400","1970","Solothurn"
"Bannwil",,"28.500","1970","Bern"
"Oberwynau",,"12.000","1996","Bern"
"Schwarzhäusern",,"8.200","1923","Bern"
"Boningen",,"23.000","2000","Solothurn"
"Aarburg",,"0.420","1889","Aargau"
"Olten",,"0.370","2015","Solothurn"
"Niedergösgen",,"51.300","1917","Solothurn"
"Aarau",,"16.930","1893","Aargau"
"Aarau",,"9.200","1929","Aargau"
"Aarau",,"1.200","2014","Aargau"
"Auenstein",,"40.000","1945","Aargau"
"Rupperswil",,"1.740","1945","Aargau"
"Niederlenz",,"0.400","1943","Aargau"
"Schinznach-Dorf",,"0.650","1953","Aargau"
"Villnachern",,"51.250","1953","Aargau"
"Döttingen",,"6.200","2001","Aargau"
"Döttingen",,"19.500","1902","Aargau"
""Klingnau"," Gippingen"",,"42.600","1935","Aargau"
"Hospental",,"2.000","1902","Uri"
"Realp",,"0.900","1914","Uri"
