"Ort","Postleitzahl","Installierte Leistung in KW","Inbetriebnahme","ZE-Kanton"
""Riddes"," Pied du Mont"",,"0.310","1942","Wallis"
""Fionnay"," Mauvoisin"",,"30.000","1964","Wallis"
"Fionnay",,"140.000","1958","Wallis"
""Riddes"," Ecône"",,"258.000","1956","Wallis"
"Leytron",,"0.470","2013","Wallis"
"Fully",,"5.500","1915","Wallis"
"Fully",,"2.130","2017","Wallis"
""Fully"," Les Garettes"",,"0.870","2017","Wallis"
""Lac-Devant"," Sorniot"",,"0.000","1915","Wallis"
"Champsec",,"8.700","1930","Wallis"
""Le Châble"," Bagnes"",,"0.400","1993","Wallis"
""Bagnes"," Profray"",,"2.300","2017","Wallis"
"Pas-du Lein",,"0.470","1998","Wallis"
"Vollèges",,"0.900","2009","Wallis"
"L'Hospitalet",,"1.470","1963","Wallis"
""Bourg-St-Pierre"," La Delise"",,"2.000","2016","Wallis"
"Liddes",,"33.400","1958","Wallis"
""Le Niollet"," Champex"",,"0.320","1947","Wallis"
"Orsières",,"1.200","1996","Wallis"
"Orsières",,"26.400","1931","Wallis"
"Pt. de la Tsi / Liddes",,"0.000","1943","Wallis"
""Sembrancher"," Les Moulins"",,"11.000","1929","Wallis"
"Martigny-Bourg",,"22.000","1908","Wallis"
"Martigny-Combe",,"0.930","1981","Wallis"
"Le Châtelard",,"1.000","1929","Wallis"
"Le Châtelard",,"112.000","1923","Wallis"
"Vallorcine",,"260.500","1978",""
"Finhaut",,"900.000","2018","Wallis"
""Salvan"," Alpage de Barberine"",,"0.000","1978","Wallis"
"Vallorcine",,"0.000","1978",""
"Vernayaz",,"92.000","1927","Wallis"
"Vernayaz",,"0.460","2013","Wallis"
"Martigny",,"170.000","1978","Wallis"
"Vernayaz",,"1.700","2016","Wallis"
""Vernayaz"," Miéville"",,"70.000","1950","Wallis"
"Giétroz du Fond",,"0.000","1965","Wallis"
"Clusanfe",,"0.000","1950","Wallis"
"Collonges",,"3.300","1981","Wallis"
""Evionnaz"," La Rasse"",,"0.720","1998","Wallis"
"Lavey",,"90.000","1950","Waadt"
"La Peuffeyre",,"24.000","1927","Waadt"
"Bex",,"8.000","1898","Waadt"
"Bex",,"2.610","1911","Waadt"
"Le Bevieux",,"1.900","1943","Waadt"
""Etrivouez"," Grand Paradis"",,"0.970","1901","Wallis"
""La Frassenaye"," Val d'Jlliez"",,"0.920","2005","Wallis"
"Monthey",,"13.600","1910","Wallis"
""Monthey"," Les Nants"",,"9.800","1963","Wallis"
"Monthey",,"0.400","1992","Wallis"
""Vionnaz"," Beffeux"",,"0.420","2014","Wallis"
""Les Diablerets"," Le Plan"",,"5.400","1957","Waadt"
""Ormont-Dessous"," Le Pont"",,"10.600","1913","Waadt"
""Ormont - Dessous"," Le Pont"",,"0.390","2013","Waadt"
""Aigle"," En la Douve"",,"0.460","1989","Waadt"
""Fontanney"," Les Farettes"",,"20.300","1906","Waadt"
""Les Farettes"," Aigle"",,"0.330","1997","Waadt"
""Vouvry"," Haut du Village"",,"8.000","1902","Wallis"
""Saint-Gingolph"," Vignolles"",,"0.350","2009","Wallis"
""Veytaux"," Chillon"",,"420.000","1972","Waadt"
""Montreux"," Sonzier"",,"1.650","1901","Waadt"
""Les Planches"," Taulan"",,"1.200","1887","Waadt"
"Rivaz",,"0.730","2014","Waadt"
"Aubonne",,"10.700","1896","Waadt"
"Lavigny",,"3.310","2008","Waadt"
"Genève",,"8.700","1994","Genf"
""Veyrier"," Iles de Vessy"",,"0.320","1867","Genf"
"Russin",,"102.800","1943","Genf"
"Avully / Chancy",,"54.000","1925","Genf"
"Challex",,"0.480","2013",""
""Les Brenets"," La Rançonnière"",,"1.600","1890","Neuenburg"
"Les Planchettes",,"1.000","2005","Neuenburg"
"Les Planchettes",,"31.600","1953","Neuenburg"
"Echelles de la Mort",,"12.000","1909",""
"Le Noirmont",,"5.600","1894","Jura"
""Bedretto"," Ossasco"",,"1.270","2012","Tessin"
"Motti della Bolla",,"1.930","1991","Tessin"
"Airolo",,"60.000","1947","Tessin"
"Cap.dei Morti",,"0.000","1947","Tessin"
""Airolo"," Launc"",,"3.600","1922","Tessin"
"Piotta",,"44.000","1920","Tessin"
"Piotta",,"14.000","1968","Tessin"
"Rodi-Fiesso",,"10.000","1925","Tessin"
""Prato Leventina"," P. di Masc."",,"0.310","2008","Tessin"
"Faido",,"2.000","1950","Tessin"
"Dalpe",,"1.000","2000","Tessin"
""Lavorgo"," Nivo di Chironico"",,"72.900","1932","Tessin"
"Chironico",,"2.900","1907","Tessin"
"Personico",,"141.000","1966","Tessin"
"Ghirone",,"20.000","1963","Tessin"
"Olivone",,"102.000","1962","Tessin"
"Biasca",,"324.000","1959","Tessin"
""Mesocco"," Spina"",,"20.900","1962","Graubünden"
""Mesocco"," Spina"",,"4.200","1963","Graubünden"
""Mesocco"," Camou"",,"0.350","2010","Graubünden"
"Soazza",,"83.000","1961","Graubünden"
""Lostallo"," Rura"",,"25.000","1958","Graubünden"
"Piani di Verdabbio",,"0.300","1957","Graubünden"
""Grono"," Oltra"",,"37.500","1965","Graubünden"
"Roveredo",,"20.800","1951","Graubünden"
"Giubiasco",,"0.310","2017","Tessin"
"Giubiasco",,"15.500","1903","Tessin"
"Gordola",,"132.500","1965","Tessin"
"Tenero",,"4.250","1972","Tessin"
"Piano di Peccia",,"54.000","1955","Tessin"
"Piano di Peccia",,"0.980","1991","Tessin"
"Robiei",,"192.000","1968","Tessin"
"San Carlo",,"140.000","1966","Tessin"
""Broglio"," Corsgèla in Lavizarra"",,"2.120","2016","Tessin"
"Cavergno",,"114.000","1955","Tessin"
"Brissago",,"119.000","1953","Tessin"
"Brissago",,"62.000","1973","Tessin"
"Campo Vallemaggia",,"1.280","2002","Tessin"
""Cerentino"," Collinasca"",,"1.380","2004","Tessin"
""Someo"," Giumaglio"",,"8.940","1967","Tessin"
"Palagnedra",,"2.850","2018","Tessin"
""Tegna"," Ponte Brolla"",,"3.100","1904","Tessin"
"Sonvico",,"5.000","1926","Tessin"
"Sigirino (Monteceneri)",,"0.840","2015","Tessin"
"Maroggia",,"0.950","1890","Tessin"
"Gabi",,"11.330","1957","Wallis"
""Gondo"," San Marco"",,"46.000","1952","Wallis"
""Gondo"," Tannuwald"",,"5.200","1953","Wallis"
""Poschiavo"," Alpe Palü"",,"9.500","1927","Graubünden"
""Poschiavo"," Bernina"",,"0.000","1923","Graubünden"
""Poschiavo"," Cavaglia"",,"7.000","1927","Graubünden"
""S. Carlo"," Robbia"",,"27.000","1910","Graubünden"
""San Carlo"," Pedecosta"",,"0.510","2010","Graubünden"
"Campocologno",,"50.000","1907","Graubünden"
"Campocologno",,"1.620","1950","Graubünden"
"Casaccia",,"6.600","1961","Graubünden"
"Casaccia",,"86.000","1959","Graubünden"
"Plancanin",,"0.500","1991","Graubünden"
"Casaccia",,"9.000","1960","Graubünden"
"Casaccia",,"0.000","1967","Graubünden"
"Casaccia",,"0.000","1960","Graubünden"
"Murtaira",,"0.000","1963","Graubünden"
"Bondo",,"6.900","1962","Graubünden"
""Promontogno"," Gmde. Bregaglia"",,"0.510","2017","Graubünden"
"Castasegna",,"100.000","1959","Graubünden"
"Silvaplana",,"1.470","1891","Graubünden"
"Scuol",,"0.960","2014","Graubünden"
"Celerina",,"4.400","1932","Graubünden"
""Roseg"," Samedan"",,"0.310","1933","Graubünden"
""Pontresina"," Morteratsch"",,"1.600","1890","Graubünden"
"Samedan",,"0.360","1992","Graubünden"
"Madulain",,"1.560","1903","Graubünden"
"Susch",,"5.860","2010","Graubünden"
"Lavin",,"3.070","2014","Graubünden"
"Guarda-Giarsun Gmd. Scuol",,"0.350","1998","Graubünden"
"Ardez",,"6.600","2014","Graubünden"
"Tarasp",,"0.920","2010","Graubünden"
"Scuol",,"1.900","1903","Graubünden"
"Strada",,"0.300","1994","Graubünden"
"Samnaun-Compatch",,"0.460","2017","Graubünden"
"Samnaun-Compatsch",,"0.960","1970","Graubünden"
"Zernez",,"2.800","1969","Graubünden"
"Zernez",,"54.000","1970","Graubünden"
"Zernez",,"0.470","1969","Graubünden"
"Scuol",,"300.000","1970","Graubünden"
"Martina",,"84.000","1994","Graubünden"
""Nauders"," A"",,"2.140","2018",""
"Prutz",,"86.900","2018",""
"Sta.Maria",,"2.000","1958","Graubünden"
"Müstair/Chasseras",,"1.070","1991","Graubünden"
