Location,Production,Startup
Chénens,21.7,19.12.11
Arzier,21.7,26.07.10
Kappel,21.7,30.04.12
Zermatt,21.8,11.02.15
Scuol,21.8,31.08.13
Küsnacht,21.8,04.11.10
Sarnen,21.8,02.05.12
Utzenstorf,21.8,24.12.08
Barzheim,21.8,28.04.08
Ebnat-Kappel,21.8,13.05.11
Niederrohrdorf,21.8,20.12.13
Saas i. P.,21.8,20.10.16
La Chaux-de-Fonds,21.8,30.03.16
St. Stephan,21.8,24.03.15
Gossau,21.8,21.06.16
Obbürgen NW,21.8,18.09.15
Langenthal,21.8,28.02.12
Vallamand,21.9,28.09.12
Rumisberg,21.9,07.12.11
Hüttwilen,21.9,24.09.07
Mézières VD,21.9,07.12.11
Frümsen,21.9,07.09.12
Canobbio,21.9,28.09.12
Sutz,21.9,17.06.11
Grüningen,21.9,24.11.11
Hedingen,21.9,21.10.11
Glarus,22,30.07.09
Bettwil,22,23.03.10
Mitlödi,22,15.11.12
Horgen,22,28.09.10
Walenstadt,22,21.03.11
Menzberg,22,06.09.12
Seewen,22,26.05.11
Vaz/Obervaz,22,20.05.16
Frümsen,22,26.01.16
Hinterfultigen,22,28.11.11
Pfeffingen,22.1,18.11.11
Menznau,22.1,28.09.12
Arlesheim,22.1,28.02.12
Riken,22.1,15.11.13
Cully,22.1,22.12.11
Thayngen,22.1,27.09.12
Nennigkofen,22.1,23.06.09
Frauenfeld,22.1,16.12.09
Oberneunforn,22.1,13.03.08
Maur,22.1,16.11.10
Gruesch,22.1,08.08.08
Willisau,22.1,31.03.08
Aegerten,22.1,27.09.12
Einsiedeln,22.1,27.10.08
Kirchlindach,22.1,01.11.11
Basel,22.1,18.12.09
Bichwil,22.1,15.10.10
Ettiswil,22.1,20.06.11
Cossonay-Ville,22.2,25.06.10
Bannwil,22.2,29.10.10
Gunzgen,22.2,20.12.11
Rafz,22.2,11.07.14
Vordemwald,22.3,26.11.09
Trub,22.3,27.11.13
Winistorf,22.3,05.04.11
Mellingen,22.3,08.01.10
Steinmaur,22.4,18.07.12
Yverdon Le Bains,22.4,24.03.14
Thun,22.4,28.06.16
Uettligen,22.4,10.12.10
Basel,22.4,11.01.11
Schafhausen,22.4,08.06.12
Bitsch,22.4,30.12.11
Eggersriet,22.5,19.11.06
Hugelshofen,22.5,25.05.11
St.Moritz,22.5,18.04.08
Lenk im Simmental,22.5,01.11.10
Cham,22.5,06.07.12
Hettlingen,22.5,28.09.12
Meikirch,22.5,20.08.12
Oberwil im Simmental,22.5,11.11.11
Ftan,22.6,24.09.12
Waltenschwil,22.6,22.04.08
Lenzburg,22.6,15.07.09
Gräslikon,22.6,26.11.08
Hinterkappelen,22.6,19.07.12
Raron,22.6,07.08.15
