Location,Production,Startup
Köniz,29.7,20.11.14
Basel,29.7,20.11.14
Villarlod,29.7,14.07.09
Ruswil,29.7,18.06.10
Hinterrhein,29.7,09.07.10
Mosen,29.7,28.03.15
Fischbach-Göslikon,29.7,24.11.10
Unterägeri,29.7,07.09.11
Vicques,29.7,22.03.16
Egnach,29.7,26.08.14
Wettswil,29.7,23.12.11
Tenero,29.7,02.03.16
Mühlethurnen,29.7,22.03.16
Kägiswil,29.7,24.03.16
Brigels,29.7,25.06.15
Brislach,29.7,15.12.11
Oeschenbach,29.7,17.03.16
Hinwil,29.7,03.03.17
Beromünster,29.7,22.12.11
Mühlrüti,29.8,26.03.15
Dreien,29.8,24.12.14
Kirchberg,29.8,16.03.15
Eschlikon,29.8,20.03.15
Meyrin,29.8,25.03.14
Häfelfingen,29.8,31.05.12
Henggart,29.8,29.10.11
Beatenberg,29.8,27.11.12
Esslingen,29.8,23.11.12
Orbe,29.8,15.12.11
Hefenhofen,29.8,02.04.09
Genolier,29.8,18.11.09
Wattwil,29.8,05.03.09
Bischofszell,29.8,24.09.11
Holziken,29.8,14.12.10
Dierikon,29.8,16.04.09
Kaufdorf,29.8,30.06.11
Wichtrach,29.8,31.08.12
Grüsch,29.8,20.12.10
S-chanf,29.8,24.11.11
Schiers,29.8,03.12.10
Sent,29.8,23.09.14
Laufenburg,29.8,01.07.11
Buochs,29.8,30.05.08
Chandolin-près-Saviese,29.8,22.09.15
Ebnat-Kappel,29.8,31.03.15
Kaisten,29.8,25.03.15
Untersiggenthal,29.8,24.09.12
Balgach,29.8,09.06.15
Renan,29.8,18.03.15
Dürnten,29.9,24.11.09
Wil,29.9,17.12.10
Gunten,29.9,24.09.08
Benken,29.9,14.02.12
Bertschikon,29.9,06.09.11
Moudon,29.9,15.09.13
Niederglatt,29.9,26.10.11
Oberegg,29.9,20.12.11
Cumpadials,29.9,30.04.11
Genève,29.9,24.04.10
Fahrni,29.9,11.12.09
Melchnau,29.9,01.12.09
Rünenberg,29.9,25.08.10
Muhen,29.9,11.05.10
Schöftland,29.9,11.11.11
Eriswil,29.9,24.12.10
Schiers,29.9,20.12.10
Helsighausen,29.9,24.02.12
Alterswilen,29.9,21.10.11
Besenbüren,29.9,19.08.15
Baldingen,29.9,30.07.16
Thierachern,29.9,27.09.12
Thierachern,29.9,19.03.13
Teufen,29.9,30.08.11
Ascharina,29.9,28.09.15
Praden,29.9,18.09.15
Meggen,29.9,26.02.15
Löhningen,29.9,17.03.14
Tuggen,29.9,28.09.17
Rotkreuz,29.9,24.03.15
Visp,30,01.10.16
Wiler,30,23.02.12
Riniken,30,21.09.11
Zweisimmen,30,19.12.11
Valchava,30,30.12.13
Kirchberg,30,27.09.16
Bavois,30,21.11.12
Weinfelden,30,22.11.11
Bernhardzell,30,23.06.11
Oberwil b. Bueren,30,31.12.10
Vordemwald,30,21.06.12
Saanen,30,10.08.12
Glovelier,30,16.12.08
Bischofszell,30,11.07.12
Dallenwil,30,06.07.12
Lömmenschwil,30,23.06.11
Echandens,30,01.04.10
La Chaux-de-Fonds,30,21.12.09
Ramsen,30,22.11.13
Subingen,30,02.12.10
Wisen,30,15.11.13
Baar,30,02.07.12
Neuendorf,30,20.07.11
Bärau,30,14.02.12
Le Lignon,30,31.05.11
Aetigkofen,30,02.11.11
Hellsau,30,19.04.12
Oberriet,30,30.09.15
Trasadingen,30,20.12.11
Kriessern,30,28.09.15
Rorschacherberg,30,03.11.11
Heldswil,30.1,28.04.09
Benken,30.1,19.09.12
Genève,30.1,06.07.11
Frauenfeld,30.1,09.05.12
Avry-devant-Pont,30.1,23.12.11
Märstetten,30.2,24.03.16
Neuenkirch,30.2,30.03.15
Stehrenberg,30.2,01.10.11
Luzern,30.2,13.09.07
Schwarzenbach,30.2,31.07.13
Zürich,30.2,05.12.11
Pusserein,30.2,08.08.11
Seeberg,30.2,01.10.14
Anwil,30.2,30.03.15
Pieterlen,30.2,18.08.10
Madiswil,30.2,02.12.11
Thörigen,30.3,24.09.14
Schüpfen,30.3,05.12.11
Küssnacht am Rigi,30.3,21.05.12
Herisau,30.3,12.12.13
Dettighofen (Lengwil),30.4,27.12.11
Frutigen,30.4,13.09.11
Hellbühl,30.4,29.07.16
Ellighausen,30.4,26.04.08
Wiliberg,30.4,26.09.12
Corgémont,30.4,01.11.12
Rüti,30.4,15.09.10
Krummenau,30.4,09.12.13
Unterseen,30.4,25.10.11
Amden,30.5,21.01.15
Appenzell,30.5,20.10.08
Surcuolm,30.5,20.12.13
Mosnang,30.5,22.09.15
Wölflinswil,30.6,27.02.12
Graben,30.6,30.08.11
Chavannes-Sous-Orsonnens,30.6,14.11.11
Säriswil,30.6,07.04.10
Kirchlindach,30.6,11.07.12
Langnau,30.6,21.12.11
Ufhusen,30.6,01.09.15
Gasel,30.6,03.12.13
Schaffhausen,30.7,16.12.13
Dottikon,30.7,28.11.11
Ettingen,30.7,22.12.11
Erstfeld,30.8,29.09.16
Gähwil,30.8,08.05.08
Waldkirch,30.8,02.04.09
Jona,30.8,10.04.09
Sempach,30.8,11.02.09
Zofingen,30.8,02.11.06
Burgdorf,30.8,07.12.10
Thierachern,30.9,19.03.13
Schaffhausen,30.9,28.02.12
Thayngen,30.9,11.04.12
Oberwil b. Büren,30.9,26.08.11
Grossaffoltern,30.9,11.09.14
Hellsau,30.9,19.12.13
Remigen,31,23.12.11
Dietlikon,31,22.11.11
Commugny,31,22.12.12
Bösingen,31,14.06.12
Küsnacht,31,14.10.10
Altstätten,31,31.05.10
Selzach,31,22.12.11
Hellbühl,31,04.11.11
Lengnau,31,15.09.11
Hirschthal,31,21.12.11
Winterthur,31.1,15.12.08
Wattwil,31.1,01.06.10
Château d'Oex,31.2,25.07.13
Mittelhäusern,31.2,29.11.13
L'Orient,31.2,16.12.11
Bigenthal,31.2,04.12.13
Heiligkreuz,31.2,10.03.15
Heiligkreuz,31.2,10.03.15
Holderbank,31.2,23.09.15
Rorbas,31.3,30.08.11
Rorbas,31.3,30.08.11
Frauenfeld,31.3,29.07.11
Rafz,31.3,15.08.12
Urtenen-Schönbühl,31.3,04.09.13
Buttisholz,31.3,15.05.12
Halten,31.4,03.07.12
Bretzwil,31.4,20.06.13
Inwil,31.5,16.11.09
Buttikon,31.5,18.09.09
Nesslau,31.5,12.05.10
Kiesen,31.5,02.11.10
Pfyn,31.5,08.02.08
Ayent,31.5,22.05.12
Oberentfelden,31.5,22.12.11
Uttwil,31.5,30.12.13
Ruswil,31.5,19.12.13
Rheinfelden,31.5,11.01.11
Romanel-Sur-Lausanne,31.5,25.07.11
Attelwil,31.5,20.07.11
Pfeffingen,31.5,12.08.11
Siblingen,31.5,22.07.16
Romoos,31.5,31.08.17
Höchstetten,31.6,16.02.12
Wallenbuch,31.6,01.06.16
Berg,31.6,01.04.09
Stein am Rhein,31.6,24.12.12
Langenbruck,31.6,03.12.13
Rottenschwil,31.6,18.05.15
Krummenau,31.7,27.11.09
Horw,31.7,29.09.11
Basel,31.7,18.11.10
Hägendorf,31.7,23.12.11
Hüttwilen,31.8,31.10.08
Burgdorf,31.8,05.12.13
Burgdorf,31.8,05.12.13
Mettmenstetten,31.8,27.03.15
Häggenschwil,31.9,17.09.12
Züberwangen,31.9,04.06.09
Zollbrück,31.9,23.02.12
Heiden,31.9,29.02.12
Schüpfheim,32,13.12.11
Küsnacht,32,24.12.10
Noflen,32,24.02.12
Ormalingen,32,26.09.12
Dreifachturnhalle Maihof,32,22.11.06
Trub,32,23.12.10
Aarberg,32,15.10.10
Selzach,32,22.12.11
Kriegstetten,32,17.08.11
Büren zum Hof,32,03.07.12
Niederurnen,32,05.10.11
Meierskappel,32,14.09.17
Salez,32.1,24.09.10
Tschugg,32.1,24.02.11
Deitingen,32.1,29.12.11
Ulisbach,32.1,20.12.13
Affoltern,32.1,04.12.15
Härkingen,32.1,20.12.11
Corcelles,32.1,23.05.12
Sumiswald,32.1,01.06.12
Riehen,32.2,01.12.11
Scherz,32.2,19.01.12
Eschenz,32.2,29.09.10
Eschenz,32.2,29.09.10
Entlebuch,32.2,11.04.11
Lanzenhäusern,32.2,20.10.09
Grasswil,32.2,27.09.12
Hondrich,32.2,16.12.11
Gipf-Oberfrick,32.3,29.04.08
Bowil,32.3,29.08.12
Ebersecken,32.3,29.05.13
Fieschertal,32.4,17.12.09
Schlatt,32.4,01.10.07
Meinisberg,32.4,06.12.11
Vernier,32.4,29.01.10
Frick,32.4,28.01.11
Recherswil,32.4,06.10.11
Aeschi,32.4,27.09.11
Osterfingen,32.4,25.07.17
Grosswangen,32.5,02.12.11
Gunzwil,32.5,07.11.08
Brig,32.5,12.08.11
Römerswil,32.5,07.09.15
Ohmstal,32.5,27.11.13
Hergiswil,32.6,21.11.11
Hergiswil,32.6,21.11.11
Essertines-sur-Yverdon,32.6,21.12.07
Zeiningen,32.6,28.02.12
Langnau,32.6,19.12.11
Ruswil,32.6,18.11.09
Orpund,32.6,18.11.11
Berneck,32.6,15.09.09
Seewil,32.6,13.09.12
Rengg,32.6,29.09.12
Rehetobel,32.7,14.04.12
Itingen,32.7,23.10.13
Grossaffoltern,32.7,20.12.12
Ruswil,32.7,05.12.13
Heimenhausen,32.7,17.06.11
Kriens,32.8,29.02.12
Rheinfelden,32.8,17.05.10
Densbüren,32.8,29.09.16
Ennetbühl,32.8,03.11.14
Schenkon,32.8,12.03.15
Quartino,32.8,27.01.12
Allenwinden,32.8,10.03.16
Wilihof,32.8,11.10.11
Gams,32.9,11.10.09
Dietikon,32.9,09.10.09
Stein,32.9,02.11.12
Wil,32.9,14.11.14
Schwellbrunn,33,01.01.09
Niederbuchsiten,33,11.09.12
Wauwil,33,20.07.11
Stans,33,03.12.13
Ennetmoos,33,25.04.14
Urswil,33,13.09.12
Schüpfheim,33,25.09.12
Haslen,33,30.09.12
Nottwil,33,06.11.08
Hagenwil b. Amriswil,33,17.03.16
Merzligen,33.1,07.03.13
Au,33.1,30.12.11
Kloten,33.1,25.09.12
Frauenfeld,33.1,16.12.09
Ortschwaben,33.1,22.01.13
Lumbrein,33.1,15.12.11
Ruswil,33.1,16.11.11
Hägglingen,33.1,27.02.12
Marbach,33.1,20.10.11
Menznau,33.1,20.12.11
Wolhusen,33.2,26.08.11
Boudry,33.2,11.12.13
Uettligen,33.2,21.12.12
Suberg,33.2,10.10.11
Schongau,33.3,20.07.12
Poliez-Pittet,33.3,30.06.14
Hinwil,33.3,19.12.13
L'Isle,33.3,17.12.09
Basel,33.3,19.12.13
Weissenburg,33.3,21.12.12
Wyssachen,33.3,09.12.13
Pratteln,33.3,30.07.13
Villy,33.3,14.10.11
Eggersriet,33.3,02.01.17
Schötz,33.3,26.09.12
Selzach,33.4,28.09.12
Gadmen,33.4,22.12.11
Rothrist,33.5,25.06.08
Rickenbach,33.5,14.06.12
Gasel,33.5,11.10.13
Bursins,33.6,07.03.07
Ebersecken,33.6,21.09.10
Sins,33.6,09.06.09
Etziken,33.6,14.04.11
Cresta (Avers),33.6,26.07.16
Dornach,33.6,13.12.11
Rapperswil,33.6,03.10.11
Abtwil SG,33.6,05.09.12
Schlierbach,33.6,12.08.15
Affoltern im Emmental,33.7,20.11.15
Russikon,33.7,01.12.14
Sempach-Station,33.7,23.12.12
Uffikon,33.7,12.06.14
Basel,33.8,15.12.11
Egliswil,33.8,17.08.11
Kaisten,33.8,03.07.09
Opfikon,33.8,08.11.12
Aubonne,33.8,15.12.08
Neuendorf,33.8,21.04.08
Cugy,33.8,11.07.11
Mettlen,33.8,07.11.14
Mühleberg,33.8,23.09.14
Gurzelen,33.8,16.05.12
Lupfig,33.8,26.08.11
Lanzenhäusern,33.9,20.10.09
Uettligen,33.9,29.08.12
Ziegelbrücke,33.9,15.11.13
Füllinsdorf,33.9,28.03.17
Schüpfheim,33.9,28.03.17
Buchs,34,20.08.08
Basel,34,25.11.13
Präz / Plaun,34,20.12.13
Abtwil,34,18.11.10
Küblis,34,28.08.14
Laufenburg,34,17.12.12
Kriens,34,31.03.15
Zug,34,31.03.16
Aesch,34,11.03.16
Surrein,34.1,21.06.16
Walenstadt,34.1,29.11.11
Zürich,34.2,05.12.11
Unterägeri,34.2,18.03.16
Eich,34.2,23.12.11
Zug,34.2,10.10.11
Lajoux,34.2,06.12.11
Eriswil,34.2,18.03.14
Rougemont,34.2,20.06.14
Gossau,34.3,30.01.09
Arlesheim,34.3,16.02.12
Pignia,34.3,21.09.11
Trübbach,34.3,24.04.08
Ebikon,34.3,28.04.14
Bergdietikon,34.3,17.10.12
Sent,34.3,06.12.11
Ebersecken,34.3,01.06.16
Ebnet,34.4,15.12.12
Hendschiken,34.4,24.11.11
Ebnet,34.4,12.08.11
Waltenschwil,34.4,22.01.13
Egolzwil,34.5,19.09.16
Bern,34.5,11.09.14
Basel,34.5,05.12.11
Zeiningen,34.5,08.12.11
Hüswil,34.6,28.09.12
Degersheim,34.6,05.03.12
Hämikon,34.6,16.07.15
Liestal,34.6,03.10.07
Kallern,34.6,05.12.12
Rickenbach,34.6,23.02.12
Zürich,34.6,05.12.11
Zürich,34.6,05.12.11
Frutigen,34.6,25.01.11
Thun,34.6,22.09.12
Azmoos,34.6,25.06.10
Oberbalm,34.6,12.04.10
Mettmenstetten,34.7,18.10.11
Luzern,34.7,24.02.11
Full-Reuenthal,34.7,19.12.13
St.Gallen,34.7,25.11.09
Taegerwilen,34.7,30.12.13
Eriswil,34.7,11.12.13
Schwendibach,34.8,22.11.12
Sempach,34.8,26.01.12
Jegenstorf,34.8,26.11.11
Seigneux,34.9,27.02.12
Finsterwald,34.9,12.10.12
Ufhusen,35,12.03.15
Zug,35,22.03.17
Guntmadingen,35,22.02.17
Basel,35,28.10.13
Basel,35,28.10.13
Arlesheim,35,20.07.11
Carouge,35,17.03.10
Hohenrain,35,25.06.13
Finsterwald,35.1,30.05.12
Genève,35.1,19.12.13
Villmergen,35.1,14.09.09
Grosswangen,35.1,30.09.15
Oberiberg,35.1,19.09.15
Kaltacker,35.1,23.03.15
Birsfelden,35.2,14.07.15
Birsfelden,35.2,14.07.15
Aigle,35.2,24.02.12
Penthalaz,35.2,21.12.12
Wisen,35.2,16.12.10
Lausanne,35.3,22.12.10
Eschenbach,35.3,25.09.15
Vuisternens-en-Ogoz,35.3,15.12.11
Waldkirch,35.3,20.06.12
Littau,35.3,23.04.13
Nidau,35.3,27.05.09
Romanshorn,35.3,27.07.12
Meyrin,35.3,03.10.14
Altwis,35.4,23.09.15
Geiss,35.4,09.06.12
Wilchingen,35.4,28.02.12
Emmen,35.5,27.03.06
Ebikon,35.6,29.06.15
Zürich,35.6,20.11.13
Schaffhausen,35.6,01.06.17
Muhen,35.7,16.04.10
Ittigen,35.7,27.11.14
Wolfwil,35.7,29.02.12
Zweisimmen,35.7,18.03.15
Gelfingen,35.8,15.03.17
Ormalingen,35.8,07.07.11
Lausanne,35.9,17.10.11
Lenzburg,35.9,04.11.13
Rüti,35.9,06.08.10
Unterstammheim,36,22.12.10
Trübbach,36,18.04.08
Steinach,36,30.06.13
Neudorf,36,22.11.13
Etziken,36,06.05.11
Choulex,36,23.09.11
San Carlo,36,11.09.12
Wittnau,36,08.11.11
Wetzikon,36,17.03.17
Develier,36,18.09.17
Grabs,36.1,25.09.09
Schüpfheim,36.1,16.11.11
Dürrenroth,36.2,05.10.11
Arosa,36.2,15.11.11
Wünnewil,36.2,21.12.10
Grosswangen,36.2,21.10.13
Rickenbach,36.2,25.09.12
Pratteln,36.3,29.09.17
Buchs,36.4,21.12.07
Les Ponts de Martel,36.4,17.12.13
Saanenmöser,36.4,23.04.14
Champvent,36.4,28.03.14
Lenzburg,36.4,01.02.12
Heimisbach,36.5,21.12.11
Gersau,36.5,30.09.11
Illnau,36.5,09.12.10
Davos Clavadel,36.5,21.12.12
Egg,36.6,02.11.11
Wölflinswil,36.7,03.03.15
Wolfisberg,36.7,22.06.11
Bellinzona,36.7,28.09.12
Meilen,36.7,19.04.17
Tenna,36.8,06.12.11
Bargen,36.8,11.06.13
Chavannes sur Moudon,36.8,21.11.12
Schmiedrued,36.9,30.08.12
Ried-Mörel,36.9,09.06.11
Rolle,37,09.02.11
Horgen,37,15.01.10
Attelwil,37,12.11.12
Schwarzenberg,37,09.09.11
Poliez-Le-Grand,37.1,30.08.09
Günsberg,37.1,30.03.16
Widen,37.2,14.06.10
Stels,37.2,11.07.08
Tenna,37.3,15.01.15
Uzwil,37.4,23.12.11
Ettingen,37.4,22.12.11
Lenggenwil,37.7,29.07.08
Ennenda,37.7,20.10.12
Attiswil,37.8,15.07.11
Interlaken,37.8,31.05.10
Romanshorn,37.8,27.07.12
Basel,37.8,15.10.10
Homburg,37.8,24.05.12
Langnau,37.9,28.09.12
Monthey,38,22.09.12
Ruswil,38,23.10.14
Jegenstorf,38,21.12.11
Chézard-Saint-Martin,38.1,07.05.12
Ebikon,38.3,29.06.15
Oberkirch,38.3,30.09.15
Seehof,38.4,11.05.12
Tenna,38.4,10.12.10
Alvaneu Dorf,38.4,22.12.11
Schafisheim,38.5,12.12.09
Eich,38.5,02.12.13
Jegenstorf,38.5,25.03.15
Rohrbachgraben,38.6,04.03.12
Staffelbach,38.6,05.11.10
Sulz,38.6,16.08.11
Flaach,38.7,20.05.11
Zürich,38.7,18.09.12
Givisiez,38.8,05.12.11
Seeberg,38.9,20.11.14
Euthal,38.9,14.11.11
Mollis,38.9,21.11.11
Pany,39,18.05.15
Muri,39.1,20.12.12
Kräiligen,39.1,10.08.11
Sempach,39.2,01.07.10
Oberwil bei Zug,39.3,01.02.16
Hasliberg Wasserwendi,39.4,31.07.12
Wünnewil,39.5,04.11.11
Mauensee,39.5,22.10.10
Neftenbach,39.5,11.10.13
Mollis,39.5,27.09.11
Schenkon,39.5,23.09.15
Rossrüti,39.6,09.02.09
St. Peterzell,39.6,11.10.11
Lausanne,39.6,03.12.06
Basel,39.6,04.08.09
Leutwil,39.7,19.03.15
Böbikon,39.7,23.12.11
Baar,39.7,09.12.11
Lienz,39.9,30.03.15
Obergesteln,40,27.12.11
Ganterschwil,40,09.07.13
La Chaux-de-Fonds,40,18.10.14
Sennwald,40,05.11.15
Haslen,40,30.09.12
Mühleberg,40,12.12.11
Finsterwald bei Entlebuch,40.1,17.05.11
Steinebrunn,40.2,28.12.11
Basel,40.2,27.11.09
Müllheim,40.3,21.12.10
Herznach,40.3,29.12.11
Herbligen,40.3,29.03.17
Schwarzenburg,40.3,09.09.14
Reute,40.3,28.09.12
Scheuren - Forch,40.3,29.01.15
Liestal,40.3,07.11.11
Untersteckholz,40.4,30.11.11
Engelburg,40.4,26.03.15
Schafisheim,40.5,27.11.07
Pfäffikon,40.5,17.11.11
Weinfelden,40.5,09.12.13
Rütihof,40.5,21.02.14
Préverenges,40.5,28.11.11
Furna,40.5,03.10.14
Hofstetten,40.6,22.12.11
Krummenau,40.6,09.12.13
Rubigen,40.7,20.08.15
Guntmadingen,40.8,14.11.11
Rotkreuz,41,23.06.08
Gohl,41,23.09.11
Riehen,41,10.11.11
Säriswil,41,14.07.08
Entlebuch,41,13.12.11
Villars-sur-Glâne,41.1,09.09.15
Pierrafortscha,41.1,26.03.15
Klosters,41.1,21.12.10
Kreuzlingen,41.1,08.06.10
Kerzers,41.3,02.11.11
Locarno,41.3,11.10.13
Griesenberg,41.3,08.10.13
Wattwil,41.3,26.02.15
Rudolfstetten,41.4,08.11.10
Scuol,41.4,10.12.10
Zürich,41.4,18.09.12
Zürich,41.4,18.09.12
Diemtigen,41.4,22.07.11
Wetzikon,41.4,03.11.11
Limpach,41.5,27.09.16
Alpnach Dorf,41.5,18.06.13
Mettmenstetten,41.6,03.12.11
Hohenrain,41.6,16.09.15
Aesch bei Neftenbach,41.6,06.12.13
Schwyz,41.8,24.08.11
Lausanne,41.8,12.01.10
Büren zum Hof,41.8,27.06.12
Lenggenwil,41.8,18.03.15
Murzelen,41.8,01.12.08
Satigny,41.9,29.10.09
Worb,41.9,12.10.11
Fehren,41.9,19.12.12
Amriswil,42,13.12.12
Froideville,42,27.11.12
Ebikon,42,05.11.14
Sünikon,42.1,20.09.12
Hohenrain,42.2,09.02.11
Biberist,42.2,03.05.12
Trimmis,42.3,28.02.12
Chur,42.3,18.09.10
Montricher,42.4,20.08.14
Bellach,42.5,24.02.12
Dussnang,42.5,20.07.12
Zug,42.5,13.05.13
Riedholz,42.6,22.12.11
Oberthal,42.6,23.11.11
Belp,42.6,15.10.13
Pfaffnau,42.6,20.07.12
Grabs,42.7,30.04.08
Ottoberg,42.8,02.02.09
Ottoberg,42.8,02.02.09
Lohn,42.9,15.12.11
Hedingen,42.9,03.11.11
Mathon,42.9,09.08.12
Arbon,42.9,07.06.10
Kerns,42.9,23.12.14
Gstaad,43,16.12.13
Kirchlindach,43,22.08.13
Ibach,43,18.12.12
Domdidier,43.1,21.12.12
Herznach,43.1,27.09.10
Oberburg,43.1,30.08.11
Fankhaus,43.1,19.11.14
Oberbipp,43.1,05.12.11
Sumiswald,43.1,28.06.16
Kreuzlingen,43.2,26.01.07
Grünenmatt,43.2,20.08.13
Kienberg,43.2,30.07.12
Hausen am Albis,43.3,25.09.15
Li Curt,43.3,05.12.13
Huttwil,43.3,22.09.11
Worb,43.4,08.05.12
Walperswil,43.4,10.11.10
Gossau,43.4,18.09.09
Frieswil,43.5,04.11.11
Otelfingen,43.6,26.10.11
Ilanz,43.6,08.10.13
Bettenhausen,43.7,09.07.10
Trub,43.7,30.09.12
Hemmental,43.7,19.03.15
Büron,43.7,16.09.16
Les Bioux,43.7,01.05.09
Stadel,43.7,16.11.11
Tobel,43.7,24.08.12
Wilen-Gottshaus,43.7,27.03.15
Tuggen,43.7,31.10.11
Mex,43.8,03.09.12
Esslingen,43.9,13.07.10
Basel,43.9,04.10.10
Buttisholz,43.9,20.09.16
Berneck,44,27.09.17
Monthey,44,14.12.12
Entlebuch,44,12.06.12
Merlischachen,44,23.09.11
Affeltrangen,44.1,23.04.09
Renens,44.1,05.02.10
Altstätten,44.2,23.11.11
Büren zum Hof,44.2,21.12.11
Schüpfheim,44.3,13.12.11
Wattwil,44.3,10.10.12
Rosshäusern,44.3,22.12.11
Steffisburg,44.4,19.11.15
Horn,44.4,30.05.08
Muttenz,44.4,06.04.11
Stuls/Stugl,44.4,28.11.11
Oberhelfenschwil,44.5,28.09.15
Hornussen,44.5,25.09.15
Oeschgen,44.5,23.08.13
Wildberg,44.5,23.12.11
Sent,44.7,01.12.11
Salez,44.7,05.11.11
Zwillikon,44.8,04.03.13
Oeschseite,44.8,05.06.08
Häusernmoos,44.8,20.09.11
Zell LU,44.8,16.03.15
Wilen,44.9,23.12.11
Steckborn,44.9,01.07.08
Schocherswil,45,07.12.11
Kägiswil,45,25.05.12
Longirod,45,15.12.09
Aarberg,45,12.04.12
Oberbalm,45.1,16.12.09
Courtaman,45.1,01.06.08
Bondo,45.1,21.10.14
Oetwil am See,45.1,18.12.13
Würenlingen,45.1,10.02.12
Lützelflüh-Goldbach,45.1,30.12.11
Quartino,45.2,27.02.12
Fulenbach,45.2,30.11.10
Chailly-Montreux,45.3,18.08.09
Ganterschwil,45.4,14.10.14
Eschenbach,45.4,28.02.17
Wäldi,45.4,08.12.11
Montezillon,45.5,08.10.09
Stierva,45.5,21.09.15
Rudolfingen,45.6,27.02.13
La Lecherette,45.6,16.02.09
Bassecourt,45.6,22.11.11
Castelrotto,45.6,01.09.11
Segnas,45.8,29.09.15
Nufenen,45.8,02.07.15
Baechli,45.8,12.06.13
Büttenhardt,45.8,28.09.08
Fanas,45.8,22.08.11
Auswil,45.9,17.09.11
Niederuzwil,45.9,10.03.15
Oberriet,46,20.12.13
Lützelflüh,46.1,31.12.10
Uster,46.1,24.10.14
Oberbalm,46.2,19.01.09
Schiers,46.2,22.08.11
Vattiz,46.2,14.11.14
Mauren,46.4,19.07.13
Bubikon,46.5,25.09.12
Selzach,46.5,12.01.12
Däniken,46.5,08.07.11
Bösingen,46.6,14.12.11
Torny-le-Grand,46.6,20.09.12
Crissier,46.6,01.10.11
Wallenwil,46.6,03.08.12
Dagmersellen,46.6,28.09.12
Urdorf,46.6,01.11.09
Baden,46.6,19.12.10
Neftenbach,46.7,24.03.15
Frauenfeld,46.7,26.11.10
Blonay,46.8,15.12.11
Uettligen,46.8,29.09.09
Trüllikon,46.8,25.09.12
Spreitenbach,46.8,24.06.15
Brugg,46.8,22.12.11
Regensdorf-Watt,46.8,30.03.15
Knonau,46.8,30.09.16
Basel,46.8,15.12.11
Basel,46.8,15.12.11
Baar,46.8,15.05.12
Wilen bei Wil,46.9,20.03.12
Semsales,46.9,19.11.14
Bennau,47,30.01.09
Alosen,47,16.09.15
Sumiswald,47.1,01.09.11
St. Gallen,47.2,26.08.10
Eschenbach,47.2,06.11.13
Rüthi,47.2,04.09.15
Wil bei Turgi,47.3,14.10.10
Luven,47.3,14.08.09
Gais,47.3,25.07.12
Affoltern am Albis,47.3,11.12.11
Tamins,47.3,20.04.11
Detligen,47.4,19.12.13
Basel,47.4,15.12.11
Basel,47.4,15.12.11
Satigny,47.5,25.06.15
Giswil,47.5,21.05.13
Wuppenau,47.8,20.12.11
Sempach,47.8,11.06.14
Oerlingen,47.8,10.12.14
Oberstetten,47.8,29.09.12
Lützelflüh,47.9,14.12.09
Bätterkinden,47.9,23.12.13
Porrentruy,48,09.07.08
Seewen,48,22.01.09
Les Bois,48,10.09.10
Arth,48,15.12.11
Sion,48,14.04.11
Bolken,48,13.09.11
Bellach,48,21.03.12
Collonge Bellerive,48,30.05.12
Thalwil,48.1,18.12.13
Rotkreuz,48.2,16.05.11
Münchenstein,48.3,21.12.10
Bellinzona,48.4,02.06.09
Grüsch,48.6,20.12.10
Schwyz,48.6,11.10.11
Widnau,48.6,30.10.13
Wildhaus,48.6,23.11.11
Murzelen,48.6,07.11.11
Onex,48.7,14.11.10
Tenniken,48.7,02.12.11
Eggiwil,48.7,05.11.09
Rickenbach SZ,48.8,20.06.12
Lumbrein,48.8,28.10.11
Bern,48.8,22.12.10
Lausanne,48.8,16.12.13
Märstetten,49,26.01.16
Oulens-Sur-Lucens,49,21.12.12
Niederuzwil,49,21.08.12
Wagen,49,18.11.08
St. Gallenkappel,49,17.12.14
Basel,49,25.11.13
Rain,49,14.10.11
Steinach,49.1,24.04.12
Oetwil am See,49.1,01.12.11
Marthalen,49.1,30.05.09
Basel,49.1,18.12.09
Uettligen,49.1,09.12.11
Zernez,49.1,30.09.15
Brissago,49.1,15.06.12
Biel-Benken,49.2,28.02.12
Lengwil,49.3,03.03.15
Altishofen,49.4,20.12.11
Schwyz,49.5,05.07.12
Les Hauts-Geneveys,49.5,15.12.11
Kleinlützel,49.5,22.12.11
Andwil,49.6,18.11.12
Tscherlach,49.6,06.12.11
Zäziwil,49.8,29.08.13
Porrentruy,49.8,25.09.15
Büsserach,49.9,23.12.11
Schinznach-Dorf,49.9,22.12.10
Uttigen,49.9,29.05.13
Mathod,50,20.12.11
Adelboden,50,27.09.12
Rickenbach,50.2,23.03.09
Saules,50.2,12.09.11
Cartigny,50.2,17.12.09
Berg am Irchel,50.2,19.07.11
Moosseedorf,50.2,21.11.08
Zuchwil,50.3,20.05.11
Morges,50.4,17.03.09
Rhäzüns,50.4,18.12.09
Port,50.4,04.09.09
Yverdon-les-Bains,50.4,05.04.11
Lenzerheide,50.4,15.11.13
Bassins,50.4,21.11.13
Cham,50.4,26.09.12
Wabern,50.5,07.06.15
Schwanden,50.5,30.03.15
Herisau,50.5,17.10.11
Schinznach-Dorf,50.5,14.10.10
Lungern,50.6,10.11.09
Liebefeld,50.6,20.05.12
Schneisingen,50.6,28.09.16
Yverdon-les-bains,50.6,02.12.11
Uesslingen,50.7,07.03.08
Oberegg,50.7,20.07.08
